nombre,descripcion,precio,stock
Home Office Chair,Ergonomic office chair with lumbar support and adjustable height.,199.99,6205
Matcha Green Tea Powder,High-quality matcha for making traditional tea or lattes.,14.99,6561
Pasta Sauce Mix,Just add water for a quick pasta sauce.,1.29,4906
Rice Pudding,Creamy dessert made with rice and cinnamon.,2.29,3692
Chewy Granola Bars,Oats and honey bars with a chewy texture and nutty flavor.,3.49,3843
Toilet Paper (12 rolls),Soft and strong toilet paper for everyday use.,8.99,2276
Rechargeable Electric Screwdriver,Convenient electric screwdriver for DIY projects at home.,39.99,1155
Outdoor Adventure Kit,Complete outdoor kit for camping and hiking.,89.99,6220
Travel Document Organizer,"Organize travel documents, passport, and cards.",15.99,2035
Silicone Wine Glasses,Durable and shatterproof silicone glasses for outdoor use.,22.99,8990
Organic Black Beans,"Versatile canned black beans, ready to add to any dish.",1.29,6425
Honey Nut Cheerios,Classic cereal made with whole grains and honey.,4.29,6783
Glass Water Bottle,Borosilicate glass water bottle with silicone sleeve.,25.99,3731
Beef Enchilada Casserole,Hearty casserole with beef and enchilada sauce.,8.99,5342
Microfiber Cleaning Cloths,Pack of ultra-soft microfiber cloths for cleaning.,9.99,5500
Party Mini Dress,"Eye-catching mini dress with sequins, ideal for party nights out.",69.99,1239
Pepperoni Pizza Rolls,"Savory pizza rolls filled with pepperoni and cheese, ready to bake and enjoy in minutes.",6.99,4438
Electric Meat Grinder,Powerful grinder for making sausage and burgers at home.,89.99,6701
Camera Lens Cleaning Kit,Complete cleaning kit for camera lenses.,14.99,224
Watercolor Set,Complete watercolor set with paints and brushes.,19.99,2703
Nature Explorer Lens Kit,Magical lens kit for kids to explore the outdoors.,19.99,6042
Mushrooms,"Fresh button mushrooms, great for cooking.",2.99,6863
Rolling Cooler,Wheeled cooler for transporting drinks and snacks.,59.99,1884
Chiffon Blouse,Elegant chiffon blouse perfect for work or outings.,39.99,5254
Bamboo Memory Foam Pillow,Ergonomically designed pillow with breathable bamboo cover.,34.99,848
Casual Sneakers,Versatile canvas sneakers suitable for everyday wear with a comfortable fit.,39.99,345
Ceramic Knife Set,Set of ceramic knives for precision slicing.,39.99,6672
Insulated Wine Tote,Stylish tote to keep wine bottles chilled while traveling.,24.99,5434
Solar String Lights,Eco-friendly string lights for outdoor decor.,29.99,8643
Peach & Mango Salsa,"A zesty salsa made with peaches and mangos, great for chips.",4.49,4220
Sweet Cherry Tomatoes,Fresh and juicy cherry tomatoes for salads and snacking.,2.99,3143
Fresh Basil,"Aromatic fresh basil, perfect for Italian cooking.",1.99,8170
Almond Butter Cups,"Rich chocolate cups filled with almond butter, a delicious treat.",3.29,4579
Elegant Lace Dress,A stunning lace dress perfect for special occasions.,79.99,1771
Smart Wi-Fi Light Bulbs,Energy-efficient LED bulbs that can be controlled via smartphone.,19.99,4499
Multi-Function Smartphone Holder,"Versatile holder that can be used on desks, cars, and more.",12.99,7925
Frozen Hash Browns,"Shredded potatoes, perfect for breakfasts.",2.99,1795
Sea Salt Caramel Brownie,Moist brownie topped with sea salt and caramel drizzle.,2.49,7217
Electronic Drum Kit,Compact electronic drum kit for musicians of all levels.,359.99,7563
Memory Foam Mattress Pad,Extra layer of comfort for your mattress.,69.99,7420
Wireless Mouse,Ergonomic wireless mouse with adjustable DPI.,25.99,4142
Thai Red Curry Paste,Spicy and flavorful curry paste for authentic Thai dishes.,3.99,2046
Lockable Bicycle Chain,Heavy-duty chain lock for securing bicycles.,19.99,8659
Maple Cinnamon Granola Bars,Chewy granola bars with maple and cinnamon flavor.,3.49,8426
DIY Candle Kit,Everything you need to make your own scented candles at home.,34.99,3957
Energy Bites,Healthy energy bites made with oats and natural sweeteners.,3.99,2418
Outdoor String Lights,Fairy lights perfect for decorating patios and backyards.,24.99,2479
Multi-Cooker,Versatile multi-cooker for pressure cooking and slow cooking.,89.99,5701
Tabletop Fire Pit,Compact and stylish indoor/outdoor fire pit for ambiance.,79.99,4107
High-Quality Yoga Block,Foam yoga block for enhancing poses and stability.,12.99,2958
Pineapple Chunks (canned),Sweet pineapple chunks in syrup.,2.29,582
Pet Safety Harness,Comfortable harness designed to keep pets safe in the car.,24.99,2221
Tomatillo Salsa,Tangy salsa made from tomatillos and peppers.,3.29,5331
Silicone Stretch Lids,Reusable silicone lids for covering food in bowls and storage containers.,14.99,3596
Green Smoothie Mix,A convenient powder mix combining greens and fruits for smoothies.,5.99,5569
Electric Heat Pad,Microwaveable heat pad for soothing muscle aches.,24.99,419
Paint By Numbers Kit,Relaxing paint kit with pre-printed canvas for painting.,24.99,5970
Adjustable Garden Rake,Heavy-duty rake with adjustable width for different gardening needs.,22.99,744
Organic Quinoa Chips,"Light and crispy chips made from quinoa, ideal for dipping.",3.99,5346
Stick Vacuums Cleaner,Cordless vacuum cleaner for quick clean-ups.,129.99,6756
Dog Training Whistle,High-frequency whistle for training your dog effectively.,8.99,8785
Beef Stroganoff Mix,Everything you need to create a hearty beef stroganoff.,5.49,2772
Bamboo Bathtub Caddy,"Expandable caddy for holding books, phones, and snacks while in the bath.",34.99,6621
Adjustable Standing Desk,Ergonomic desk that adjusts height for standing or sitting.,299.99,2101
Garden Vegetable Soup,"A hearty soup filled with vegetables and herbs, perfect for a light meal.",3.29,6810
Blackberry Compote,"Sweet blackberry compote, perfect for topping desserts.",5.29,656
Almond Butter Cookies,Soft cookies made with almond butter,4.49,9057
Active Racerback Tank,Lightweight and moisture-wicking racerback tank for workouts.,24.99,9046
Sports Bottle,BPA-free sports bottle with flip-top lid.,15.99,9087
Walnut Halves,Fresh walnut halves for baking or snacking.,8.49,6973
Acoustic Guitar,Beginner-friendly acoustic guitar with natural finish.,199.99,3500
Pork Chops,"Tender and juicy pork chops, perfect on the grill.",9.49,6361
Coconut Curry Sauce,A flavorful sauce made with coconut milk and spices.,3.89,5069
Surimi Crab Sticks,"Synthetic crab meat sticks, great for salads and sushi.",4.19,3491
Ultraviolet Phone Sanitizer,UV sanitizer that kills germs on your smartphone.,39.99,331
Italian Breadsticks,Crispy breadsticks seasoned with herbs and garlic.,2.49,6869
Homestyle Beef Stew,"Hearty beef stew with vegetables, ready to heat and serve.",7.99,164
Eco-Friendly Yoga Blocks,Sustainable foam blocks for yoga practice.,15.99,3483
Electric Skillet,Versatile electric skillet for stir-frying and searing.,49.99,2409
Aeropress Coffee Maker,Portable coffee maker for rich brews on the go.,29.99,4868
Magnetic Screen Door,Keep bugs out while allowing fresh air in during summer.,24.99,3808
Cable Knit Beanie,A cozy cable knit beanie to keep your head warm in winter.,19.99,3114
Creamy Garlic Mashed Potatoes,Rich and buttery mashed potatoes with roasted garlic.,3.99,5187
Pomegranate Juice,"Fresh pomegranate juice, rich in antioxidants.",4.49,9335
Spicy Hummus,"Creamy hummus with a kick of spice, great for dipping.",3.49,6691
Kale Salad Kit,"Ready-to-eat salad with kale, lemon, and cheese.",4.99,9313
Organic Vanilla Bean Ice Cream,"Creamy ice cream made with real vanilla beans, perfect for desserts.",5.99,9949
Elegant Maxi Skirt,Float through the day in this beautiful floor-length skirt.,44.99,2596
Infrared Space Heater,Energy-efficient infrared heater for home use.,99.99,2257
Chilli Lime Corn on the Cob,Corn on the cob seasoned with chili and lime for a spicy kick.,1.99,2218
Smart Light Switch,Control lights remotely with this smart switch.,29.99,3504
Chilli Lime Corn on the Cob,Corn on the cob seasoned with chili and lime for a spicy kick.,1.99,1120
Beef Sirloin Steak,"Juicy and tender beef sirloin steak, grass-fed.",15.99,5358
Fitbit Activity Tracker,Advanced wristband that tracks daily activities and sleep.,99.99,127
Infrared Thermometer,Non-contact thermometer for checking temperatures instantly.,39.99,4699
Nutty Quinoa Salad,"A delicious salad with quinoa, nuts, and cranberries.",4.99,6006
Blueberry Muffin Mix,Make delightful blueberry muffins at home with this easy mix.,4.29,7902
Vegetable Spring Rolls,Crispy spring rolls filled with vegetables,6.49,2240
Gardening Kneeler and Seat,Foldable kneeler that doubles as a seat for gardening convenience.,39.99,7768
Wall-Mounted Organizer,Practical organizer for keeping your home tidy and clutter-free.,34.99,8564
Smart LED Desk Lamp,Adjustable lamp with multiple brightness levels and colors.,39.99,4786
Repair Tool Set for Home Improvement,Small toolkit with essentials for home repairs.,29.99,3216
Peanut Butter Granola,Crunchy granola full of peanut butter flavor and oats.,4.99,7169
Car Vacuum,Portable car vacuum cleaner with strong suction.,49.99,8320
Sooji (Semolina),"Fine semolina flour, perfect for pasta and desserts.",1.99,4604
Electric Griddle with Removable Plates,Non-stick surface for easy cooking and cleaning.,59.99,9980
Wooden Blocks,Classic wooden building blocks for toddlers.,24.99,5976
Honey BBQ Riblets,"Tender riblets coated in a honey barbecue glaze, perfect for grilling or baking.",12.99,5005
Beach Cover-Up,"Lightweight cover-up perfect for the beach, with a breezy design.",29.99,739
Hibiscus Tea Bags,Herbal tea bags made from dried hibiscus flowers.,3.79,9192
Adjustable Bar Stools,Stylish bar stools with adjustable height and swivel features.,149.99,588
Personal Blender with Travel Lid,Blender designed for smoothies and shakes on the go.,34.99,1412
Portable Camping Shower,Convenient shower system for camping and outdoor activities.,39.99,2612
Safety First Aid Kit,Comprehensive first aid kit for home or travel emergencies.,29.99,4785
Scent Diffuser Oil,Essential oil blends for a soothing atmosphere in your home.,14.99,3466
Thai Red Curry Paste,Spicy and flavorful curry paste for authentic Thai dishes.,3.99,7652
Stuffed Grape Leaves,"Grape leaves stuffed with rice and herbs, ready to eat.",5.79,642
Comfortable Bed Pillow,Supportive pillow designed for a good night's sleep.,24.99,5026
Oven-Baked Chicken Tenders,"Crispy and juicy chicken tenders, perfect for dipping.",6.99,6073
Deluxe First Aid Kit,Comprehensive first aid kit for home and travel.,39.99,2176
Bluetooth Tracker,Smart tracker to locate keys or other items via app.,19.99,6991
Digital Meat Thermometer,Instant-read thermometer for precise cooking temperatures.,24.99,8397
Chicken Sausage,"Flavorful chicken sausage, low in fat and fully cooked.",6.99,8378
Pocket Blanket,"Compact, waterproof blanket for picnics and events.",24.99,7557
Peanut Butter Banana Smoothie Mix,"Smoothie mix combining peanut butter and banana, great for a quick breakfast.",4.49,7540
Jigsaw Puzzle,500-piece jigsaw puzzle featuring beautiful scenery.,14.99,3967
Reclining Camping Chair,Foldable reclining camping chair with cup holder.,49.99,8695
Kids' Activity Book,Fun book filled with puzzles and games for kids.,14.99,8990
Portable Hand Warmer,Rechargeable hand warmer for cold weather comfort.,24.99,1265
Dog Car Seat Cover,Waterproof cover to protect car seats from pet hair and dirt.,39.99,7834
Wireless Earbuds Case,Protective case for wireless earbuds.,12.99,7365
Dual Function Electric Skillet,"Skillet that can fry, grill, and sauté with ease.",59.99,2097
Heart-Shaped Baking Molds,Love-themed molds for creating desserts and treats.,10.99,4666
Pet Grooming Scissors,Quality scissors designed for easy pet grooming.,16.99,4055
Organic Coconut Sugar,"A natural sweetener made from coconut sap, a healthier alternative to sugar.",4.19,9086
Sea Salt Caramel Brownie,Moist brownie topped with sea salt and caramel drizzle.,2.49,4719
Portable Solar Phone Charger,Eco-friendly charger that uses solar energy for powering devices.,29.99,5021
Athletic Compression Tights,High-performance compression tights designed for optimal support and comfort.,39.99,7489
Portable Refrigerator Freezer,Compact fridge ideal for camping and road trips.,299.99,1260
USB Wall Charger,Multiple USB ports for charging devices simultaneously.,19.99,9501
Portable USB-C Monitor,Lightweight and slim monitor ideal for dual-screen setups.,199.99,6455
Pesto Pasta Salad,Cold pasta salad tossed with pesto and fresh vegetables.,4.99,2892
Beef Stroganoff Mix,Everything you need to create a hearty beef stroganoff.,5.49,3241
Reusable Silicone Food Storage Bags,Eco-friendly bags for storing food without plastic waste.,19.99,2341
Honey Garlic Chicken,Tender chicken coated in a sweet and savory honey garlic sauce.,8.49,9849
Decorative Throw Pillows,Set of stylish throw pillows for home decor.,29.99,6118
Homestyle Chicken Noodle Soup,Classic chicken noodle soup with tender chicken and vegetables.,2.99,4350
Stick Vacuums Cleaner,Cordless vacuum cleaner for quick clean-ups.,129.99,7970
Kids' Science Experiment Kit,Engaging kit with science experiments for children.,29.99,5901
Frozen Berry Blend,A mix of frozen berries for smoothies or desserts,4.99,394
Wall-Mounted Organizer,Practical organizer for keeping your home tidy and clutter-free.,34.99,4122
Laundry Detergent,Effective laundry detergent for a deep clean.,12.99,6597
Adjustable Pet Feeder,Convenient feeder that adjusts to your pet's height.,39.99,5481
Mango Sticky Rice Dessert,Sweetened sticky rice served with fresh mango and coconut sauce.,4.5,376
DIY Lip Balm Kit,Craft your own lip balms with this complete kit.,22.99,7172
Creamy Spinach Dip,"Deliciously creamy spinach dip, perfect for parties.",5.99,2853
Garlic Herb Cream Cheese,Spreadable cream cheese blended with garlic and herbs.,2.99,3108
Wall Art Stickers,Removable wall art stickers for home decoration.,19.99,7993
Outdoor Mosquito Repellent Lantern,Lantern that repels mosquitoes while providing light.,34.99,3303
Salsa,"Fresh and zesty salsa, perfect for nachos.",3.49,9322
Asian Salad Mix,Fresh greens and veggies for a quick Asian-inspired salad.,3.99,2621
Tomato Sauce,Rich and flavorful tomato sauce for pasta or pizza.,2.79,881
Cheese Stuffed Jalapenos,"Spicy jalapenos stuffed with cheese, ideal for appetizers.",5.99,4429
Essential Oils Diffuser Necklace,Wearable diffuser for scenting your space and body.,19.99,8362
Baby Monitor,Video baby monitor with night vision.,79.99,2231
Cheddar & Bacon Potato Skins,Gourmet potato skins loaded with cheddar cheese and bacon.,7.49,5695
Tennis Racket,Lightweight tennis racket for beginners and advanced players.,89.99,1117
Roasted Sweet Corn,Sweet corn roasted to perfection for a delightful side.,1.99,5711
Fitness Activity Journal,Journal to record workouts and nutrition.,14.99,7520
Electric Heat Press Machine,Ideal for creating custom designs on t-shirts and fabrics.,99.99,8836
Surimi Crab Sticks,"Synthetic crab meat sticks, great for salads and sushi.",4.19,6172
Whole Wheat Pasta,Nutritious and hearty pasta made from whole wheat flour.,2.49,4840
Coconut Oil Spray,A zero-calorie coconut oil spray for cooking and baking.,4.99,4031
Non-Stick Baking Sheet,Durable baking sheet coated for easy food release.,18.99,3618
Honey Sriracha Chicken Bites,"Frozen chicken bites coated in a honey sriracha glaze, spicy and sweet.",7.99,8497
Peach Mango Smoothie,A refreshing blend of peaches and mangoes for a delicious smoothie.,3.49,8454
Frozen Edamame,"Lightly salted frozen edamame, a protein-packed snack.",3.29,9897
Chunky Knit Sweater,Cozy oversized sweater perfect for chilly days with a textured knit design.,59.99,1633
Cotton Basic Tank,"Essential cotton tank top, perfect for layering.",14.99,5176
Smart Wi-Fi Camera,Indoor Wi-Fi camera for home security.,89.99,5485
Wireless Music Receiver,Stream music from your device to any speaker wirelessly.,19.99,3859
Self-Massaging Pillow,Comfortable pillow with built-in massage features.,49.99,6609
Mediterranean Flatbread,"Artisan bread topped with olives, feta, and herbs, perfect for sharing.",3.5,9648
Electric Razor,Rechargeable electric razor for a smooth shave.,59.99,8271
Blue Denim Jeans,Classic fit blue jeans with a slight stretch for comfort and durability.,49.99,9791
Smart Plant Monitor,Device that tracks soil moisture and provides care tips.,24.99,3327
Cinnamon Sugar Popcorn,Sweet popcorn coated in a mixture of cinnamon and sugar.,2.89,8157
Puff Pastry,Versatile puff pastry for pies and pastries.,5.49,4426
Almond Flour Brownies,Deliciously rich brownies made with almond flour.,5.99,3038
Pumpkin Waffles,Delicious waffles infused with pumpkin and spices.,4.49,5093
Wireless Earbud Silicone Covers,Soft silicone earbud covers for comfort and fit.,9.99,5336
Wrap Jumpsuit,Chic wrap jumpsuit that flatters the body and is perfect for any occasion.,54.99,8957
Outdoor Fire Pit,Portable fire pit for backyard gatherings.,149.99,5238
Ice Pack,Reusable gel ice pack for injuries and cooling.,8.99,4900
Chocolate Coconut Granola,"Crunchy granola with chocolate and coconut, great for breakfast or snacks.",3.79,9475
Oats,"Organic rolled oats, great for breakfast or baking.",3.29,5339
Vegetarian Sausage Links,Plant-based sausage links with spices and herbs.,5.89,2160
Chocolate Covered Pretzels,"Crunchy pretzels coated in rich chocolate, a sweet treat.",3.29,214
Sun Protection Clothing,UV-blocking clothing for outdoor activities.,44.99,6966
Snap-On Tupperware Set,Durable and versatile food storage containers.,34.99,263
Stainless Steel Travel Mug,Insulated mug to keep drinks hot on the go.,19.99,3997
Blackberry Jam,Delicious homemade style blackberry jam.,4.29,3333
Garlic Herb Cream Cheese,Spreadable cream cheese blended with garlic and herbs.,2.99,1270
Classic Baseball Cap,A timeless baseball cap that adds a sporty touch to any outfit.,24.99,273
Infrared Space Heater,Energy-efficient infrared heater for home use.,99.99,44
Beard Grooming Kit,Everything you need for maintaining a healthy beard.,34.99,6837
Granola Bars,"Crispy and chewy granola bars, perfect for on-the-go.",4.99,3916
Creamy Tomato Basil Soup,"Rich and creamy tomato basil soup, perfect with a grilled cheese.",3.29,1012
Vegetable Sushi Rolls,Fresh sushi rolls filled with a variety of vegetables.,5.99,1043
Wall Calendar,Beautiful wall calendar for organizing your schedule.,17.99,1680
Adjustable Resistance Bands,Set of resistance bands for versatile strength training workouts.,39.99,3559
Honey Roasted Almonds,Sweet and crunchy roasted almonds.,4.99,6411
Ready-to-Eat Chili,"Spicy chili in a can, ready to eat for a filling meal.",2.99,8135
Maple Cinnamon Almonds,Roasted almonds coated in a sweet maple and cinnamon mixture.,4.29,6907
Cranberry Lime Sparkling Water,Refreshing sparkling water infused with cranberry and lime flavors.,1.5,8408
Non-Toxic Concrete Sealer,Eco-friendly sealer for protecting concrete surfaces.,39.99,8168
Vegetable Lentil Soup,"A hearty soup made with lentils, a variety of vegetables, and spices, ideal for a nutritious meal.",3.49,830
Sketchbook,High-quality sketchbook for artists.,14.99,9700
Organic Granola,Healthy granola made with oats and honey.,5.49,5206
Pumpkin Waffles,Delicious waffles infused with pumpkin and spices.,4.49,252
Honey Glazed Carrots,"Sweet and savory carrots glazed in honey, perfect as a side dish.",3.49,1051
Vegetarian Chili,"Hearty chili made with beans and vegetables, a savory meal option.",3.99,9221
Portable Pet Water Bottle,Travel-friendly water bottle for pets on the go.,18.99,3172
Tennis Racket,Lightweight tennis racket for beginners and advanced players.,89.99,571
Elegant Maxi Skirt,Float through the day in this beautiful floor-length skirt.,44.99,9853
